Check,Keyword,Machine translation,Human translation (if necessary),Notes,Source,Source2,Source3
,孤军BO旅,BO brigade alone,,,,,
,瓜瓜爹逆袭,Guagua father counter-attack,,,,,
,瓜瓜发声明,Guagua issued a statement,,,,,
,解救薄熙来,Bo Xilai rescue,,,,,
,声援薄熙来,Solidarity Bo,,,,,
,书记bx来,Secretary to bx,,,,,
,挺BO降温,Very cool BO,,,,,
,挺薄互粉团,Dough very thin interbedded,,,,,
,挺薄四君子,Very thin Sijunzi,,,,,
,挺薄万民伞,Very thin umbrella peoples,,,,,
,为西来叫好,To cheer for the West,,,,,
,西红柿受审,Tomatoes trial,,,,,
,重庆BO迷,Chongqing BO fans,,,,,
,拥毛挺bo,Yong Mao Ting bo,,,,,
,判薄无罪 ,Sentenced thin innocence,,,,,
,挺bo大军,Ting bo army,,,,,
,挺薄互粉团,Dough very thin interbedded,,,,,
,薄名垂青史,Thin go down in history,,,,,
,为西来叫好,To cheer for the West,,,,,
,薄熙来枭雄,Bo Xilai Lawrence,,,,,
,审薄政治秀,Thin political show trial,,,,,
,薄xilai,Thin xilai,,,,,
,薄大大牺牲品,Thin greatly victim,,,,,
,薄谷二人关系,Relationship between two thin valley,,,,,
,薄瓜瓜 声明,Bo Guagua Statement,,,,,
,薄兮来 廉洁,Come to a clean sheet,,,,,
,博讯北京时间,Boxun Beijing,,,,,
,后薄熙来时代,After Bo era,,,,,
,揭秘 薄瓜瓜,Secret Bo Guagua,,,,,
,解放碑大行动,Liberation Monument Campaign,,,,,
,救薄就要拥习,Yong Xi will save thin,,,,,
,马三家劳教所,Masanjia,,,,,
,美国之音报道,Voice of America reports,,,,,
,全球挺薄联盟,Very thin Global Alliance,,,,,
,审薄 导火索,Thin fuse trial,,,,,
,声援 薄熙来,Solidarity Bo,,,,,
,为薄熙来平反,Bo Xilai vindication for the,,,,,
,应宣布薄无罪,Thin innocence should be declared,,,,,
,支持 薄书记,Support thin secretaries,,,,,
,重庆bo书记,Secretary of Chongqing bo,,,,,
,重庆打黑书记,Chongqing hitting secretary,,,,,
,薄中国曼德拉,Thin China Mandela,,,,,
,忘不了薄书记,Forget thin secretaries,,,,,
,薄斥责公诉机关,Thin rebuked prosecutor,,,,,
,薄王倒 谷丰登,Baowangdaogu Fengdeng,,,,,
,被告薄熙来无罪,Bo Xilai defendant not guilty,,,,,
,陈良宇到薄熙来,Chen Liangyu to Bo Xilai,,,,,
,瓜爹瓜娘瓜瓜娃,Guadieguaniang guagua baby,,,,,
,瓜瓜 纽约时报,Guagua New York Times,,,,,
,黑薄势力 老薄,Old thin black thin forces,,,,,
,回应薄熙来事件,Bo Xilai incident response,,,,,
,人民需要薄熙来,People need to Bo Xilai,,,,,
,声援薄熙来书记,"Bo Xilai, secretary of Solidarity",,,,,
,忘不了 薄书记,Forget thin secretaries,,,,,
,我眼里的薄熙来,Bo Xilai my eyes,,,,,
,西红柿市委书记,Party secretary tomatoes,,,,,
,熙来红 唱红歌,Xilai red famous songs,,,,,
,在薄熙来指使下,At the instigation of Bo Xilai,,,,,
,重庆薄熙来被抓,Chongqing Bo Xilai was arrested,,,,,
,阻止薄咆哮公堂,Prevent thin growl courtroom,,,,,
,应宣布薄无罪 ,Thin innocence should be declared,,,,,
,薄法庭被删节发言,Thin court truncated speech,,,,,
,谷对薄用人的影响,Valley on the impact of employing thin,,,,,
,请战书 薄熙来案,Qingzhan book Bo case,,,,,
,全球巡回人体展览,Roving Exhibition global body,,,,,
,书记带咱们向前走,Let's move forward with the secretary,,,,,
,温家宝陷害薄熙来,Wen Bo Xilai framed,,,,,
,我是薄熙来牺牲品,I am a victim of Bo Xilai,,,,,
,乌有之乡 薄熙来,Utopia Bo Xilai,,,,,
,重庆 声援薄熙来,"Bo Xilai , Chongqing solidarity",,,,,
,重庆打黑重庆模式,Chongqing Chongqing hitting mode,,,,,
,薄案判决结果的预测,Thin case verdict forecast,,,,,
,旗帜鲜明的唱红打黑,Clear-cut made ​​famous anti-,,,,,
,全国人大代表薄熙来,NPC Bo,,,,,
,全球巡展 塑化人体,Plasticized human global tour,,,,,
,我是薄熙来的牺牲品,I was a victim of Bo Xilai,,,,,
,吁请重审 薄熙来案,Calls upon retrial Bo case,,,,,
,中共当局调查薄熙来,"Bo Xilai, Chinese authorities investigated",,,,,
,中国政治改革新思维,New Thinking in China's political reform,,,,,
